id,brand,model,type,availability,link,image_link
MX2936-bajaj-pulsar-n160-fi-abs-ug,Bajaj,Pulsar N160 FI ABS UG,Naked,out of stock,https://www.galgo.com/MX/motos/MX2936-bajaj-pulsar-n160-fi-abs-ug,https://images.ctfassets.net/8zlbnewncp6f/5KcdAR7h2T6DgsfOZabTyo/d38c3df3a068bd1fc5683c9a35e707a3/Bajaj_Pulsar_N_160_2024_Galgo_M_xico.png
MX2088-tvs-ronin,TVS,Ronin,Café Racer,in stock,https://www.galgo.com/MX/motos/MX2088-tvs-ronin,https://images.ctfassets.net/8zlbnewncp6f/2wC6jr1X2WCRmIa2UPaD7E/c131fff75c54966ae2395091006dc602/Ronin_Nimbus_Imagen_principal_Galgo_México.jpeg
MX1065-vento-nitrox-300-t3,Vento,Nitrox 300 T3,Naked,in stock,https://www.galgo.com/MX/motos/MX1065-vento-nitrox-300-t3,https://images.ctfassets.net/8zlbnewncp6f/51dEZs34oHIR0T1yu2oj6G/8261f57660945ca6f697d7e5b053dcdb/Moto_Vento_Nitrox_300_T3_-_Galgo_M_xico_Principal.jpg
MX2507-italika-280z,Italika,280Z,Naked,out of stock,https://www.galgo.com/MX/motos/MX2507-italika-280z,https://images.ctfassets.net/8zlbnewncp6f/4dedVchQ9JfKz225D1Amg/7eca8eb49e18aee2f9cdfe54a463f31e/7605250-800-auto.webp
MX2831-suzuki-v-strom-250-sx,Suzuki,V-Strom 250 SX,Touring,in stock,https://www.galgo.com/MX/motos/MX2831-suzuki-v-strom-250-sx,https://images.ctfassets.net/8zlbnewncp6f/6FM6D5vnzn4QW2vikFI57A/1f90b6a86e33f7ddfe1c5657ed76181d/Imagen_principal.png
MX2691-cf-moto-u10-xl-pro-highland,CF Moto,U10 XL Pro Highland,ATV,in stock,https://www.galgo.com/MX/motos/MX2691-cf-moto-u10-xl-pro-highland,https://images.ctfassets.net/8zlbnewncp6f/3pPip5e30Vd0ZK1Ek1QCMA/af8d7923d9c3816c43b6ad9958548279/CF_Moto_U10_XL_PRO_HIGHLAND_Galeria1_Galgo_M_xico.webp
MX2364-yamaha-yz85-lw,Yamaha,YZ85 LW,Doble Propósito,in stock,https://www.galgo.com/MX/motos/MX2364-yamaha-yz85-lw,https://images.ctfassets.net/8zlbnewncp6f/6ZdqmgWNq3HFGnitg5AW61/50dd016efecfe37c79689431c01474fe/Yamaha_YZ85_LW_2025_Galeria_3.jpg
MX2322-yamaha-yz-450-f,Yamaha,YZ450F,Doble Propósito,in stock,https://www.galgo.com/MX/motos/MX2322-yamaha-yz-450-f,https://images.ctfassets.net/8zlbnewncp6f/3KmEDAvx1Q8E7OOYBrvt1d/2a45a058788978b444bd6c3d6d923a5f/YZ_450_F_2025.jpg
MX2827-italika-vort-x300-r-racing,Italika,Vort X 300 Racing,Deportiva,out of stock,https://www.galgo.com/MX/motos/MX2827-italika-vort-x300-r-racing,https://images.ctfassets.net/8zlbnewncp6f/4HX5YMLAejzqGsllMNWwEx/c5ec1bbbedd66a4200cb5989fe2dd966/2-Italika_Vort_X_300R.png
MX1308-italika-ft-125,Italika,FT 125,Trabajo,out of stock,https://www.galgo.com/MX/motos/MX1308-italika-ft-125,https://images.ctfassets.net/8zlbnewncp6f/4OgUIoxKVqX04HvhlAcuwY/01b82da75e290f7f6a16ec07390532a8/Moto_Italika_FT125_Galgo_M_xico__1_.jpg
MX1281-italika-dm-200,Italika,DM 200,Doble Propósito,out of stock,https://www.galgo.com/MX/motos/MX1281-italika-dm-200,https://images.ctfassets.net/8zlbnewncp6f/1g4fDtvYmdJWr4wF88SZ0b/c91e78371312be70ab20cc48b90c1369/01.DM200.jpg
